epoch,train,valid,test
0,4.262691974639893,25.88182830810547,26.525041580200195
50,4.262691020965576,25.881826400756836,26.525039672851562
56,4.262691020965576,25.88182258605957,26.52503776550293
84,4.26269006729126,25.881818771362305,26.525033950805664
87,4.26269006729126,25.881816864013672,26.5250301361084
89,4.262688159942627,25.88181495666504,26.525028228759766
90,4.262684345245361,25.881813049316406,26.525022506713867
91,4.262682914733887,25.881807327270508,26.5250186920166
92,4.262681007385254,25.88180160522461,26.52501106262207
93,4.262674331665039,25.88178825378418,26.525001525878906
94,4.262655735015869,25.881772994995117,26.524982452392578
95,4.262640476226807,25.881742477416992,26.52495002746582
96,4.262599468231201,25.88168716430664,26.52488899230957
97,4.262533187866211,25.881559371948242,26.52474594116211
98,4.2623724937438965,25.8812198638916,26.52437973022461
99,4.2619452476501465,25.880197525024414,26.52326774597168
100,4.260626792907715,25.87668800354004,26.519445419311523
101,4.255858898162842,25.864002227783203,26.505638122558594
102,4.238152027130127,25.819133758544922,26.456769943237305
103,4.174747943878174,25.659822463989258,26.28284454345703
104,3.9639148712158203,25.022113800048828,25.579221725463867
105,3.3418374061584473,22.573699951171875,22.589689254760742
119,2.0192129611968994,22.458660125732422,22.44783592224121
125,1.9765887260437012,22.447816848754883,22.315813064575195
126,1.9792649745941162,22.44163703918457,22.32234764099121
129,1.9532581567764282,22.436222076416016,22.312965393066406
130,1.9582213163375854,22.428268432617188,22.344064712524414
136,1.944819688796997,22.428251266479492,22.354520797729492
151,1.9079877138137817,22.425355911254883,22.294715881347656
152,1.9022055864334106,22.417253494262695,22.30905532836914
153,1.8984944820404053,22.413402557373047,22.29458999633789
154,1.8892334699630737,22.41259765625,22.27141571044922
155,1.887046217918396,22.400928497314453,22.27446937561035
156,1.8737322092056274,22.389240264892578,22.26739501953125
157,1.865849494934082,22.3855037689209,22.223243713378906
158,1.85690176486969,22.360200881958008,22.216201782226562
159,1.852130651473999,22.34617042541504,22.17521095275879
160,1.8389490842819214,22.31755256652832,22.15106964111328
162,1.8315883874893188,22.269817352294922,22.113264083862305
165,1.8029823303222656,22.21918296813965,22.016681671142578
168,1.783022403717041,22.159469604492188,21.952674865722656
171,1.7541390657424927,22.085783004760742,21.91878890991211
173,1.7365424633026123,22.085493087768555,21.864425659179688
174,1.72789466381073,22.030811309814453,21.878705978393555
175,1.7161616086959839,22.02311897277832,21.842178344726562
178,1.6853647232055664,22.007299423217773,21.758756637573242
185,1.5763908624649048,21.754695892333984,21.47547721862793
186,1.5565718412399292,21.610824584960938,21.291250228881836
187,1.5395264625549316,21.377464294433594,21.113828659057617
188,1.5189380645751953,21.257007598876953,21.014053344726562
189,1.4987848997116089,21.248580932617188,20.986528396606445
190,1.4808183908462524,21.215919494628906,20.97528839111328
