epoch,train,valid,test
0,1.609383225440979,1.1532188653945923,1.1439589262008667
49,1.609383225440979,1.1532187461853027,1.1439589262008667
60,1.609383225440979,1.1532186269760132,1.1439588069915771
65,1.6093823909759521,1.153218388557434,1.143958568572998
67,1.6093815565109253,1.1532182693481445,1.143958568572998
71,1.6093801259994507,1.153218150138855,1.143958568572998
72,1.6093796491622925,1.1532180309295654,1.1439584493637085
73,1.6093794107437134,1.15321683883667,1.1439577341079712
75,1.6093790531158447,1.1532164812088013,1.1439573764801025
76,1.6093788146972656,1.1532162427902222,1.143957257270813
77,1.609378695487976,1.1532161235809326,1.1439571380615234
78,1.6093785762786865,1.1532130241394043,1.1439539194107056
79,1.609378457069397,1.153212547302246,1.143953561782837
80,1.6093782186508179,1.1532111167907715,1.14395272731781
81,1.6093782186508179,1.1532082557678223,1.1439476013183594
82,1.6093779802322388,1.1532062292099,1.1439462900161743
83,1.6093779802322388,1.1532008647918701,1.1439415216445923
84,1.6093777418136597,1.1531977653503418,1.1439383029937744
85,1.6093772649765015,1.1531875133514404,1.1439272165298462
86,1.6093769073486328,1.1531730890274048,1.1439155340194702
87,1.6093777418136597,1.1531442403793335,1.1438854932785034
88,1.6093744039535522,1.153092622756958,1.1438350677490234
89,1.6093652248382568,1.1529760360717773,1.1437207460403442
90,1.6092877388000488,1.1526923179626465,1.1434423923492432
91,1.6088875532150269,1.1518992185592651,1.1426650285720825
92,1.6079531908035278,1.1494214534759521,1.1402348279953003
93,1.6049696207046509,1.14124596118927,1.1322182416915894
94,1.595557451248169,1.1151361465454102,1.1066570281982422
95,1.565615177154541,1.044193148612976,1.0375679731369019
96,1.483569622039795,0.9331632852554321,0.9319517016410828
97,1.3369252681732178,0.9082311391830444,0.9114777445793152
175,1.2893728017807007,0.9082199335098267,0.9111000299453735
176,1.289564847946167,0.9081915616989136,0.9110856056213379
177,1.2894706726074219,0.9081624150276184,0.9110721349716187
178,1.2892906665802002,0.9081438779830933,0.9110465049743652
179,1.289440393447876,0.9081377387046814,0.9110052585601807
180,1.2892963886260986,0.9081251621246338,0.9109650254249573
181,1.2891464233398438,0.9080870747566223,0.91093909740448
182,1.289222240447998,0.9080416560173035,0.9109162092208862
183,1.2891192436218262,0.9080028533935547,0.9108742475509644
184,1.2891346216201782,0.9079629778862,0.9108161330223083
185,1.289124608039856,0.9079105257987976,0.9107570052146912
186,1.2889188528060913,0.9078392386436462,0.9107191562652588
187,1.2887743711471558,0.9077661037445068,0.9106659889221191
188,1.2890113592147827,0.9076898694038391,0.9105726480484009
189,1.2886171340942383,0.9076014161109924,0.9105108380317688
190,1.288534164428711,0.9075083136558533,0.9104524850845337
191,1.2884515523910522,0.9074001312255859,0.91033536195755
192,1.288312315940857,0.90728759765625,0.9102436304092407
193,1.2882651090621948,0.9071750640869141,0.9101559519767761
194,1.288223147392273,0.907028317451477,0.9100089073181152
195,1.2879236936569214,0.9069092273712158,0.9099355340003967
196,1.2876919507980347,0.9067267179489136,0.9097314476966858
197,1.2876183986663818,0.9065755009651184,0.9096171259880066
198,1.2876135110855103,0.9063771367073059,0.9094283580780029
199,1.2872792482376099,0.9061596393585205,0.9092279076576233
